CODIGO_DEPARTAMENTO;NOMBRE_DEPARTAMENTO;CODIGO_PROVINCIA;NOMBRE_PROVINCIA;CODIGO_SECCION;NOMBRE_MUNICIPIO
1;Chuquisaca;1;Oropeza;1;Sucre
1;Chuquisaca;1;Oropeza;2;Yotala
1;Chuquisaca;1;Oropeza;3;Poroma
1;Chuquisaca;2;Azurduy;4;Azurduy
1;Chuquisaca;2;Azurduy;5;Tarvita
1;Chuquisaca;3;Zudáñez;6;Zudañez
1;Chuquisaca;3;Zudáñez;7;Presto
1;Chuquisaca;3;Zudáñez;8;Mojocoya
1;Chuquisaca;3;Zudáñez;9;Villa Ricardo Mugia - Icla
1;Chuquisaca;4;Tomina;10;Padilla
1;Chuquisaca;4;Tomina;11;Tomina
1;Chuquisaca;4;Tomina;12;Sopachui
1;Chuquisaca;4;Tomina;13;Alcalá
1;Chuquisaca;4;Tomina;14;El Villar
1;Chuquisaca;5;Hernando Siles;15;Monteagudo
1;Chuquisaca;5;Hernando Siles;16;Huacareta
1;Chuquisaca;6;Yamparáez;17;Tarabuco
1;Chuquisaca;6;Yamparáez;18;Yamparáez
1;Chuquisaca;7;Nor Cinti;19;Camargo
1;Chuquisaca;7;Nor Cinti;20;San Lucas
1;Chuquisaca;7;Nor Cinti;21;Incahuasi
1;Chuquisaca;7;Nor Cinti;22;Villa Charcas
1;Chuquisaca;8;Belisario Boeto;23;Villa Serrano
1;Chuquisaca;9;Sud Cinti;24;Villa Abecia
1;Chuquisaca;9;Sud Cinti;25;Culpina
1;Chuquisaca;9;Sud Cinti;26;Las Carreras
1;Chuquisaca;10;Luis Calvo;27;Villa Vaca Guzmán
1;Chuquisaca;10;Luis Calvo;28;Huacaya
1;Chuquisaca;10;Luis Calvo;29;Macharetí
2;La Paz;11;Murillo;30;Nuestra Señora de La Paz
2;La Paz;11;Murillo;31;Palca
2;La Paz;11;Murillo;32;Mecapaca
2;La Paz;11;Murillo;33;Achocalla
2;La Paz;11;Murillo;34;El Alto
2;La Paz;12;Omasuyos;35;Achacachi
2;La Paz;12;Omasuyos;36;Villa Ancoraimes
2;La Paz;12;Omasuyos;37;Chua Cocani
2;La Paz;12;Omasuyos;38;Huarina
2;La Paz;12;Omasuyos;39;Santiago de Huata
2;La Paz;12;Omasuyos;40;Huatajata
2;La Paz;13;Pacajes;41;Corocoro
2;La Paz;13;Pacajes;42;Caquiaviri
2;La Paz;13;Pacajes;43;Calacoto
2;La Paz;13;Pacajes;44;Comanche
2;La Paz;13;Pacajes;45;Charaña
2;La Paz;13;Pacajes;46;Waldo Ballivian
2;La Paz;13;Pacajes;47;Nazacara de Pacajes
2;La Paz;13;Pacajes;48;Santiago de Callapa
2;La Paz;14;Camacho;49;Puerto Acosta
2;La Paz;14;Camacho;50;Mocomoco
2;La Paz;14;Camacho;51;Puerto Mayor de Carabuco
2;La Paz;14;Camacho;52;Humanata
2;La Paz;14;Camacho;53;Escoma
2;La Paz;15;Muñecas;54;Chuma
2;La Paz;15;Muñecas;55;Ayata
2;La Paz;15;Muñecas;56;Aucapata
2;La Paz;16;Larecaja;57;Sorata
2;La Paz;16;Larecaja;58;Guanay
2;La Paz;16;Larecaja;59;Tacacoma
2;La Paz;16;Larecaja;60;Quiabaya
2;La Paz;16;Larecaja;61;Combaya
2;La Paz;16;Larecaja;62;Tipuani
2;La Paz;16;Larecaja;63;Mapiri
2;La Paz;16;Larecaja;64;Teoponte
2;La Paz;17;Franz Tamayo;65;Apolo
2;La Paz;17;Franz Tamayo;66;Pelechuco
2;La Paz;18;Ingavi;67;Viacha
